currency_from,currency_to,exchange_rate
CAD,ETB,39.809604
CAD,EUR,0.760821
CAD,FJD,1.699552
CAD,FKP,0.64249
CAD,GBP,0.644266
CAD,GEL,2.242581
CAD,GGP,0.64249
CAD,GHS,6.197648
CAD,GIP,0.64249
CAD,GMD,41.257007
CAD,GNF,6619.867388
CAD,GTQ,5.90419
CAD,GYD,159.594318
CAD,HKD,5.987403
CAD,HNL,18.75376
CAD,HRK,5.716944
CAD,HTG,88.393394
CAD,HUF,309.404655
CAD,IDR,11475.991691
CAD,ILS,2.668952
CAD,IMP,0.64249
CAD,INR,60.927153
CAD,IQD,1113.336969
CAD,IRR,32302.350963
CAD,ISK,105.831367
CAD,JEP,0.64249
CAD,JMD,115.795179
CAD,JOD,0.540786
CAD,JPY,105.999382
CAD,KES,90.158007
CAD,KGS,61.860986
CAD,KHR,3114.583457
CAD,KMF,354.3915
CAD,KPW,686.472618
CAD,KRW,1004.427667
CAD,KWD,0.234999
CAD,KYD,0.635712
CAD,KZT,365.955142
CAD,LAK,11464.667844
CAD,LBP,1153.526862
CAD,LKR,275.365582
CAD,LRD,116.319842
CAD,LSL,12.08167
CAD,LTL,2.252195
CAD,LVL,0.461378
CAD,LYD,3.717546
CAD,MAD,7.890939
CAD,MDL,14.733411
CAD,MGA,3137.187892
CAD,MKD,46.914291
CAD,MMK,1412.346653
CAD,MNT,2398.581109
CAD,MOP,6.167629
CAD,MRO,272.300677
CAD,MUR,34.361828
CAD,MVR,11.708094
CAD,MWK,782.977112
CAD,MXN,15.872136
CAD,MYR,3.389624
CAD,MZN,48.686268
CAD,NAD,12.082103
CAD,NGN,316.791554
CAD,NIO,27.350484
CAD,NOK,7.80344
CAD,NPR,97.421459
CAD,NZD,1.244377
CAD,OMR,0.293651
CAD,PAB,0.762816
CAD,PEN,3.017707
CAD,PGK,2.722357
CAD,PHP,42.965443
CAD,PKR,159.847247
CAD,PLN,3.66626
CAD,PYG,5233.977721
CAD,QAR,2.777186
CAD,RON,3.759656
CAD,RSD,89.283399
CAD,RUB,44.449079
CAD,RWF,786.608444
CAD,SAR,2.863282
CAD,SBD,6.223995
CAD,SCR,9.988974
CAD,SDG,348.193091
CAD,SEK,8.065161
CAD,SGD,1.07021
CAD,SHP,1.050611
CAD,SLL,10045.382571
CAD,SOS,445.824736
CAD,SRD,17.149232
CAD,STD,15787.330387
CAD,SVC,6.674639
CAD,SYP,1916.425194
CAD,SZL,13.072721
CAD,THB,27.892528
CAD,TJS,7.875983
CAD,TMT,2.677243
CAD,TND,2.336678
CAD,TOP,1.802679
CAD,TRY,13.324508
CAD,TTD,5.16561
CAD,TWD,22.831851
CAD,TZS,1778.726841
CAD,UAH,22.52059
CAD,UGX,2872.012279
CAD,USD,0.762747
CAD,UYU,31.294348
CAD,UZS,8341.201979
CAD,VND,17863.543189
CAD,VUV,90.687629
CAD,WST,2.075413
CAD,XAF,499.5801
CAD,XAG,0.041339
CAD,XAU,0.000446
CAD,XCD,2.061363
CAD,XDR,0.581485
CAD,XOF,499.562642
CAD,XPF,86.304986
CAD,YER,190.877333
CAD,ZAR,13.071046
CAD,ZMK,6865.64388
CAD,ZMW,12.517739
CAD,ZWL,245.604339
CHF,AED,3.735843
CHF,AFN,89.501286
CHF,ALL,119.07201
CHF,AMD,419.678903
CHF,ANG,1.833187
CHF,AOA,440.00695
CHF,ARS,130.200806
CHF,AUD,1.505776
CHF,AWG,1.828207
CHF,AZN,1.72883
CHF,BAM,1.986173
CHF,BBD,2.053746
CHF,BDT,95.563061
CHF,BGN,1.984267
CHF,BHD,0.38342
CHF,BIF,2094.053263
CHF,BMD,1.017083
CHF,BND,1.427979
CHF,BOB,7.003199
CHF,BRL,5.516963
CHF,BSD,1.017175
CHF,BTC,4.9458243e-05
CHF,BTN,81.191671
CHF,BWP,13.015618
CHF,BYN,2.567385
CHF,BYR,19934.829729
CHF,BZD,2.050293
CHF,CAD,1.333447
CHF,CDF,2036.711572
CHF,CHF,1
CHF,CLF,0.037204
CHF,CLP,1026.582436
CHF,CNY,6.871617
CHF,COP,4568.737507
CHF,CRC,697.296714
CHF,CUC,1.017083
CHF,CUP,26.952703
CHF,CVE,111.976789
CHF,CZK,24.814696
CHF,DJF,180.756126
CHF,DKK,7.550316
CHF,DOP,55.537919
CHF,DZD,149.656274
CHF,EGP,19.200395
CHF,ERN,15.256247
CHF,ETB,53.083995
CHF,EUR,1.014515
CHF,FJD,2.266262
CHF,FKP,0.856727
CHF,GBP,0.859095
CHF,GEL,2.990363
CHF,GGP,0.856727
CHF,GHS,8.264235
CHF,GIP,0.856727
CHF,GMD,55.01403
CHF,GNF,8827.242043
CHF,GTQ,7.872924
CHF,GYD,212.810558
CHF,HKD,7.983884
CHF,HNL,25.007145
CHF,HRK,7.623241
CHF,HTG,117.867903
CHF,HUF,412.574697
CHF,IDR,15302.626233
CHF,ILS,3.558906
CHF,IMP,0.856727
CHF,INR,81.243127
CHF,IQD,1484.575797
CHF,IRR,43073.471692
CHF,ISK,141.120514
CHF,JEP,0.856727
CHF,JMD,154.406729
CHF,JOD,0.721109
CHF,JPY,141.344554
CHF,KES,120.22092
CHF,KGS,82.488343
CHF,KHR,4153.131842
CHF,KMF,472.562268
CHF,KPW,915.374826
CHF,KRW,1339.351019
CHF,KWD,0.313359
CHF,KYD,0.847688
CHF,KZT,487.981772
CHF,LAK,15287.526484
CHF,LBP,1538.166888
CHF,LKR,367.185399
CHF,LRD,155.106339
CHF,LSL,16.110266
CHF,LTL,3.003182
CHF,LVL,0.615223
CHF,LYD,4.957151
CHF,MAD,10.522149
CHF,MDL,19.646222
CHF,MGA,4183.273657
CHF,MKD,62.557719
CHF,MMK,1883.289351
CHF,MNT,3198.380689
CHF,MOP,8.224206
